id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition
8723129,3400,HOUSE,HOUSE,245000.0,FOR_SALE,3.0,136.0,INSTALLED,,False,,,,,475.0,3.0,,GOOD
8991403,4460,HOUSE,HOUSE,245000.0,FOR_SALE,3.0,124.0,SEMI_EQUIPPED,,False,True,9.0,True,1550.0,1635.0,4.0,,GOOD
8923450,5060,HOUSE,HOUSE,245000.0,FOR_SALE,3.0,116.0,INSTALLED,False,False,True,2.0,True,600.0,745.0,4.0,False,TO_BE_DONE_UP
8977254,5300,HOUSE,HOUSE,245000.0,FOR_SALE,4.0,190.0,NOT_INSTALLED,False,False,True,,,,124.0,2.0,False,TO_RENOVATE
8784457,6001,HOUSE,HOUSE,245000.0,FOR_SALE,4.0,180.0,HYPER_EQUIPPED,,False,True,50.0,,,301.0,2.0,,AS_NEW
8810086,2830,HOUSE,HOUSE,249000.0,FOR_SALE,3.0,130.0,INSTALLED,,False,,,True,40.0,0.0,2.0,,GOOD
8848310,4870,HOUSE,OTHER_PROPERTY,249000.0,FOR_SALE,3.0,130.0,SEMI_EQUIPPED,False,False,,,True,150.0,360.0,2.0,False,GOOD
8874759,4877,HOUSE,OTHER_PROPERTY,249000.0,FOR_SALE,3.0,130.0,INSTALLED,False,False,,,True,150.0,360.0,2.0,False,GOOD
8856867,5537,HOUSE,VILLA,249000.0,FOR_SALE,4.0,140.0,INSTALLED,False,False,True,80.0,True,1050.0,1150.0,4.0,False,GOOD
8823460,7700,HOUSE,HOUSE,249000.0,FOR_SALE,6.0,270.0,SEMI_EQUIPPED,,False,,,True,150.0,396.0,2.0,,TO_RENOVATE
8933621,1440,HOUSE,HOUSE,250000.0,FOR_SALE,3.0,110.0,SEMI_EQUIPPED,,True,True,,,,740.0,3.0,,TO_RENOVATE
8932443,1650,HOUSE,HOUSE,250000.0,FOR_SALE,3.0,107.0,NOT_INSTALLED,,False,,,,,77.0,2.0,,
6872888,2830,HOUSE,HOUSE,250000.0,FOR_SALE,3.0,134.0,,,False,,,True,75.0,250.0,3.0,,
